Datum,Stevilo,Drzava
2017-10-13,-2,"- Finska, Nemčija"
2017-10-20,1-4,"Finska- Nemčija, Norveška, Španija, Švedska"
2017-10-27,-1,- Danska
2017-11-10,1-3,"Danska - Nemčija 2x, Španija"
2017-11-17,1-,Nemčija -
2017-11-24,1-2,"Danska- Norveška, Poljska"
2017-12-01,-3,"- Madžarska, Nemčija 2x"
2017-12-08,-4,"- Estonija, Finska, Nemčija 2x"
2017-12-22,-2,"- Nemčija, Poljska"
2017-12-29,-1,- Nemčija
2018-01-05,-4,"- Danska, Italija, Nemčija, Španija"
2018-01-12,-1,- Danska
2018-01-19,-5,"- Nemčija 4x, Španija"
2018-01-26,-2,"- Češka, Nemčija"
2018-02-02,-7,"- Danska, Finska, Nemčija 4x, Norveška"
2018-02-09,1-8,"Finska- Finska,Hrvaška,Nemčija 5x,Norveška"
2018-02-16,-1,- Nemčija
2018-02-23,-3,"- Danska, Italija, Švedska"
2018-03-02,-4,"- Nemčija 2x, Španija, Švedska"
2018-03-09,1-6,Nemčija -Nemčija 6x
2018-03-23,1-7,"Norveška- Nemčija 6x, Nizozemska"
2018-03-30,-4,"- Nemčija 3x, Norveška"
2018-04-06,-1,- Nemčija
2018-04-13,-5,"- Finska 3x, Nemčija, Poljska"
2018-04-20,-3,"- Finska, Nemčija 2x"
2018-04-27,-4,"- Nemčija, Nizozemska, Švedska 2x"
2018-05-04,-5,"- Danska, Finska, Hrvaška, Nemčija, Španija"
2018-05-11,-3,"- Danska, Finska, Nemčija"
2018-05-18,-4,"- Finska 2x, Nizozemska, Španija"
2018-05-25,-4,"- Danska, Italija 2x, Nemčija"
2018-06-01,-3,"- Danska, Nemčija 2x"
2018-06-08,-5,"- Madžarska, Nemčija 4x"
2018-06-15,-28,-
2018-06-22,-11,"- Finska, Nemčija 8x, Slovenija, Švedska"
2018-06-29,-4,"- Nemčija 3x, Poljska"
2018-07-06,2-24,Nemčija 2x-
2018-07-13,-2,"- Finska, Nemčija"
2018-07-20,1-3,"Švedska - Danska, Finska 2x"
2018-07-27,-1,- Švedska
2018-08-03,-5,"- Danska,Finska,Nemčija,Slovaška,Španija"
2018-08-10,-3,"- Hrvaška, Nemčija, Španija"
2018-08-17,-5,"- Nemčija 2x, Norveška, Slovaška, Švedska"
2018-08-24,-2,"- Italija, Madžarska"
2018-08-31,2-23,Nemčija 2x -
2018-09-07,-3,"- Danska, Nemčija, Slovenija"
2018-09-14,-1,- Nemčija
2018-09-21,-3,"- Nemčija, Norveška, Slovaška"
2018-09-28,-4,"- Italija, Nemčija 2x, Norveška"
2018-10-05,-4,"- Nemčija 2x, Nizozemska, Slovenija"
2018-10-12,-1,- Norveška
2018-10-19,-15,"- Italija, Nemčija 12x, Španija, Švedska"
2018-10-26,-5,"- Madžarska, Nemčija 2x, Nizozemska, Švedska"
2018-11-02,-7,"- Danska, Finska, Nemčija 3x, Norveška, Španija"
2018-11-09,-3,- Nemčija 3x
2018-11-16,5-6,"Finska,Italija,Nemčija 2x,Španija- Finska,Italija,Nemčija 3x,Norveška"
2018-11-23,-6,"- Danska, Finska, Madžarska, Nemčija 3x"
2018-11-30,-3,"- Finska 2x, Nemčija"
2018-12-07,1-2,"Danska- Islandija, Nemčija"
